2025 - Tender Sebutharga Summary,,,,,,,Awarded to Gaia,PO from dealer,Cancelled,,,,,
No ,Starting Date,Due Date,Institutions/University,Reference No,Bidding Title,SalesPerson,Product Brand,Product Model,Amount Value,Submitted Date,Submission Method,Success,Winning Company,Remark
223,"10 September, 2025","16 September, 2025",MPOB,04843,"PEMOHONAN PEROLEHAN SATU (1) UNIT BIOMEDICAL FREEZER -40C DAN ASSESORIES UNTUK KEGUNAAN DI UNIT PLANT PHATOLOGI & BIOSERUTI (PPB), BSRD.
",Choi,Mether,-40 Freezer,"RM17,600.00","12 September, 2025",Online Bidding,,,
224,"2 September, 2025","12 September, 2025",MPOB,06050,"SUMAIYAH BINTI MEGAT NABIL MOHSIN

UNIT PEMBANGUNAN PRODUK OLEO, BAHAGIAN PENYELIDIKAN KEMAJUAN TEKNOLOGI OLEOKIMIA, IBU PEJABAT, BANGI",Gan Wan Han,Mettler Toledo,Blueswan,"RM2,200.00","12 September, 2025",Online Bidding,,,
225,"10 September, 2025","17 September, 2025",WILMAR,NOC PR 20965 LAB CHEMICALS,NOC PR 20965 LAB CHEMICALS,Gan Wan Han,Organomation,N-EVAP 12P,"RM38,480.00","12 September, 2025",Online Bidding,Yes,,
226,"15 September, 2025","18 September, 2025",UM,G8/G814/2025/09/1885,"Pembelian Undenatured Alcohol, 2.5 L",Amanina,Chemiz,Alcohol,RM220.00,"17 September, 2025",Online Bidding,,,
227,"10 September, 2025","17 September, 2025",UKM,NETSDP202519347,MEMBEKAL DAN MENGHANTAR PERALATAN BESERTA ACCESSORIES UNTUK MAKMAL PENYELIDIKAN N/PKEES111/2025 MENGGUNAKAN PERUNTUKAN FRGS/1/2023/TK07/UKM/01/2 (KETUA PROJEK : DR SERI MASTURA MUSTAZA),Shahrul,SPS,POLOS-SPIN150X-NPP Spin coater,"RM31,000.00","17 September, 2025",Online Bidding,No,TFL SOLUTIONS ENTERPRISE,
228,"12 September, 2025","17 September, 2025",MPOB,6025,"Pembelian bekalan makmal Mini horizontal gel electrophoresis untuk Unit EIPM Bah.BSRD.
Pegawai Bertanggungjawab",Choi,Dlab,Electrophoresis System,RM970.00,"17 September, 2025",Online Bidding,,,
229,"18 September, 2025","23 September, 2025",UM,K/K08/2025/09/2513,"Perkhidmatan Pelupusan Sisa Klinikal dan Makmal (Clinical and Laboratory Waste Disposal) bagi Kajian Lapangan di Semporna, Sabah pada 13 hingga 24 Oktober 2025 ",Hock Seng,,Clinical And Laboratory Waste And Disposal Service,"RM5,000.00","18 September, 2025",Online Bidding,Yes,,
230,"24 September, 2025","30 September, 2025",UKM,NETSDP202520051,MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS KE JABATAN FARMAKOLOGI UNTUK PENYELIDIKAN MENGGUNAKAN GERAN FF-2024-090. KETUA GERAN TS DR WONG SOK KUAN,Amanina,ELK Biotech,Elisa Kit,"RM2,880.00","25 September, 2025",Online Bidding,No,SINWAY SOLUTION PLT,
231,"17 September, 2025","2 October, 2025",MPOB,MPOB(SH/EIPM/BSRD)20/2025,"MEMBEKAL, MENGUJILARI DAN MENTAULIAH SATU (1) UNIT PERALATAN GEL IMAGER BAGI KEGUNAAN UNIT ENTOMOLOGI DAN PENGURUSAN PEROSAK BERSEPADU DI PEJABAT MPOB WISMA DURA, BAHAGIAN PENYELIDIKAN BIOLOGI DAN KELESTARIAN",Choi,Nippon Genetics,Gel Doc System,"RM55,000.00","2 October, 2025",Hardcopy by Hand,,,
232,"3 September, 2025","3 October, 2025",UTAR,FS/DBS/2025/E013 & FS/DBS/2025/E015,RFQ Refrigerated Centrifuge Machine 15ml & 50ml &  2-Door Chiller,Choi,"Techcomp, Mether",Centrifuge & Chiller,"RM44,800.00","1 October, 2025",Email,,,
233,"1 October, 2025","2 October, 2025",UKM,NETSDP202520843,"MEMBEKAL, MENGHANTAR, DAN MEMASANG SANGKAR HAIWAN DI MAKMAL HAIWAN, FAKULTI FARMASI,UKM KKL.GERAN NH0823S021(P.M.DR FERN)",Amanina,Fengshi,Mice Cages,"RM4,000.00","2 October, 2025",Online Bidding,No,LABQUIP (M) SDN BHD,
234,"1 October, 2025","2 October, 2025",UKM,NETSDP202520835 / NETSDP202521016,"MEMBEKAL, MENGHANTAR, DAN MEMASANG SANGKAR HAIWAN DI MAKMAL HAIWAN, FAKULTI FARMASI,UKM KKL.GERAN NF-2023-006(P.M.DR AZRINA)",Amanina,Fengshi,Mice Cages,"RM4,000.00","2 October, 2025",Online Bidding,Yes,,
235,"22 September, 2025","2 October, 2025",Indah Water Research Centre,RFA091913650,"Indah Water Research Centre - To supply, install, testing and commissioning ONE (1) unit deioniser or water purification system at Indah Water Research Centre",Huda,Adrona,Compact Pure,"RM16,000.00","2 October, 2025",Online Bidding,,,
236,"2 October, 2025","6 October, 2025",USM,USMPT/KESIHATAN/25/21439,MEMBEKAL DAN MENGHANTAR BAHAN PENYELIDIKAN - DR. AIDY IRMAN YAJID / NOR ASYIKIN (JAB. PATOLOGI) [SL. REF. NO.: 2025/237],Amanina,Logos Biosystem,Cell counting slides,RM380.00,"2 October, 2025",Online Bidding,Yes,,
237,"2 October, 2025","3 October, 2025",MPOB,4022,"MEMOHON SATU (1) UNIT PERALATAN PENYELIDIKAN VACUUM PUMP BAGI KERJA-KERJA KAJIAN DI UNIT PPB, IBU PEJABAT MPOB",Choi,Rocker Scientific,Chemker 410,"RM4,660.00","2 October, 2025",Online Bidding,,,
238,"29 September, 2025","3 October, 2025",UKM,NETSDP202520695,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAHGUNA ALAT PENYELIDIKAN ‘DRYING OVEN’ DI INSTITUT BIOLOGI SISTEM, UKM, BANGI (RP5)",Suzanna,Protech,DRYING OVEN,"RM16,940.00","2 October, 2025",Online Bidding,No,SUTRA AKTIF SDN BHD,
234,"3 October, 2025","6 October, 2025",UM,K/K08/2025/09/2581,CONSUMABLES FOR DATA COLLECTION 13-24 OKTOBER 2025,Hock Seng,,Consumables,"RM4,912.00","3 October, 2025",Online Bidding,Yes,,
235,"3 October, 2025","6 October, 2025",Radicare,84234,RMSB Repair pH Meter,Huda,Mettler Toledo,LE438,"RM1,260.00","3 October, 2025",Online Bidding,Yes,,
236,"25 September, 2025","6 October, 2025",UTAR,FES-R2508C-CKK-E01A,Glove Box Integrated High Vacuum Organic / Metal Evaporator System,Shahrul,Torun,4GBS,"RM1,081,500.00","3 October, 2025",Hardcopy by Hand,,,
237,"25 September, 2025","6 October, 2025",UTAR,FES-R2508C-CKK-R01A,Prototyping Clean Room and Accessories,Shahrul,,renovate existing laboratory into Cleanroom,"RM99,750.00","6 October, 2025",Hardcopy by Hand,,,
238,"2 October, 2025","6 October, 2025",MAKMAL KESIHATAN AWAM JOHOR BARU,SQ250000000959875,"PEMBELIAN CONSUMABLES TISSUE GRINDER PESTLE UNTUK KEGUNAAN U.VIRO/MOLEKULAR, MKAJB",Suzanna,Powteq,High Throughput Tissue Mill,"RM31,400.00","6 October, 2025",Online Bidding,,,
239,"7 October, 2025","10 October, 2025",UM,"K/K08/2025/10/2611
","PERKHIDMATAN GLUCOSE AND LIPID PROFILE TEST BAGI DATA COLLECTION KERJA LAPANGAN DI SEMPORNA, SABAH PADA 13-24 OKTOBER 2025",Hock Seng,,Lab testing,"RM10,152.00","7 October, 2025",Online Bidding,Yes,,
240,"2 October, 2025","9 October, 2025",UKM,NETSS202500386,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAHGUNA ALAT PLANT GROWTH CHAMBER UNTUK INSTITUT BIOLOGI SISTEM, UKM",Suzanna,Percival,Plant Growth Chamber,"RM465,000.00","8 October, 2025",Online Bidding,No,KGC RESOURCES SDN BHD,
241,"7 October, 2025","9 October, 2025",UM,M/M01/2025/10/6874,"CRL 2025 - Membekal, Menghantar, Memasang dan Menguji 1 unit Freezer -20 degree celcius di Makmal Bioteknologi Perubatan, Fakulti Perubatan, Universiti Malaya",Amanina,Mether,Freezer,"RM27,200.00","8 October, 2025",Online Bidding,,,
242,"7 October, 2025","9 October, 2025",UM,M/M01/2025/10/6848,"CRL 2025 - Membekal, menghantar dan Memasang 1 Unit Thermo Shaker Incubator, 4 unit Mini Centrifuge, 4 unit Glass Ceramic Hot Plate dan 4 Unit Vortex Mixer di Makmal Bioteknologi Perubatan, Fakulti Perubatan, Universiti Malaya",Amanina,,Multiple items,"RM28,340.00","9 October, 2025",Online Bidding,,,
243,"7 October, 2025","9 October, 2025",UM,M/M01/2025/09/6684,"CRL 2025 - Membekal, menghantar dan Memasang 4 Unit pH meter dan 1 Unit Waterbath di Makmal Bioteknologi Perubatan, Fakulti Perubatan, Universiti Malaya",Amanina,,Multiple items,"RM34,500.00","9 October, 2025",Online Bidding,,,
244,"26 September, 2025","10 October, 2025","MGVI, NIBM",NIBM-MGVI/PRC/RFQ/04/2025-022,"MEMBEKAL, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP 
BERFUNGSI TIGA (3) UNIT BIOSAFETY CABINET BAGI PROJEK DPVN mRNA 
VACCINE DI INSTITUT GENOM DAN VAKSIN MALAYSIA (MGVI), NATIONAL 
INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",ET Lim,Airtech,BSC,"RM97,170.00","10 October, 2025",Hardcopy by Hand,,,DMB KEMBARA SDN BHD
245,"2 October, 2025","10 October, 2025",MPOB,6551,Pembelian pH buffer solution (standard buffer) untuk tujuan penentukuran pH meter bagi memastikan ketetapan bacaan dalam analisis makmal,Choi,Mettler Toledo,pH Buffer,"RM1,210.00","10 October, 2025",Online Bidding,,,
246,"10 October, 2025","14 October, 2025",Radicare,8164,RMSB Microwave Digester,Thaqib,CEM,Board replacement,"RM9,500.00","10 October, 2025",Online Bidding,,,
247,"9 October, 2025","14 October, 2025",UM,M/M27/2025/09/6804,"PEMBELIAN PREPARED SLIDES (HUMAN PATHOLOGY, ANIMAL PATHOLOGY AND ANIMAL HISTOLOGY) UNTUK TUJUAN PENGAJARAN DI JABATAN SAINS BIOPERUBATAN
",Suzanna,Happy Science,Prepared Slides,"RM9,405.00","14 October, 2025",Online Bidding,Yes,,
248,"13 October, 2025","17 October, 2025",MPOB,06763,"Ultrasonic Bath, 15 L, 40 kHz",Gan Wan Han,Soltec,Ultrasonic cleaer,"RM11,700.00","14 October, 2025",Online Bidding,,,
249,"12 October, 2025","16 October, 2025",FGV,ST/4049/OKT/06/PHTESTER/2025,PB 001723 MOHD AZMI BELIAN PERALATAN PH TESTER UNTUK KEGUNAAN DI BIOCNG DAN MAKMAL. UNTUK KEPERLUAN PERUNDANGAN,Huda,Mettler Toledo,pH meter,"RM5,900.00","14 October, 2025",Online Bidding,,,
250,"8 October, 2025","15 October, 2025",UM,M/M01/2025/02/4229,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI, MEMBERI LATIHAN DAN MENTAULIAH PERALATAN 1 UNIT CO2 INCUBATOR DI JABATAN PERUBATAN MOLEKUL,FAKULTI PERUBATAN, UM",Amanina,Nuaire,CO2 Incubator,"RM66,600.00","15 October, 2025",Online Bidding,,,
251,"15 October, 2025","16 October, 2025",UKM,NETSDP202522276,"MEMBEKAL DAN MENGHANTAR AKSESORI VORTEX, FAKULTI SAINS DAN TEKNOLOGI, UKM",Amanina,Dlab,Accessories,RM60.00,"16 October, 2025",Online Bidding,Yes,,
252,"2 October, 2025","17 October, 2025",MGVI,NIBM-MGVI/PRC/RFQ/04/2025-024,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA
LENGKAP BERFUNGSI PERALATAN SAINTIFIK TANGENTIAL FLOW FILTRATION
SYSTEM BAGI PROJEK DPVN mRNA VACCINE DI INSTITUT GENOM DAN VAKSIN
MALAYSIA (MGVI), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA
(NIBM).",ET Lim,Repligen,TFF System,"RM285,000.00","17 October, 2025",Hardcopy by Hand,Yes,,
254,"13 October, 2025","29 October, 2025","IPHARM, NIBM",NIBM-IPH/PRC/RFQ/03/2025-012,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI NEGATIVE PRESSURE INDIVIDUALLY VENTILATED CAGES (IVC) RACK MOUSE SYSTEM BAGI MAKMAL BIOKESELAMATAN HAIWAN KELAS III (ABSL-III) DI INSTITUT FARMASEUTIKAL DAN NUTRASEUTIKAL MALAYSIA (IPHARM), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",Choi,Fengshi,IVC Mouse Cage,"RM250,300.00","29 October, 2025",Hardcopy by Hand,,,
255,"13 October, 2025","29 October, 2025","IPHARM, NIBM",NIBM-IPH/PRC/RFQ/03/2025-013,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI NEGATIVE PRESSURE INDIVIDUALLY VENTILATED CAGES (IVC) RACK RAT SYSTEM BAGI MAKMAL BIOKESELAMATAN HAIWAN KELAS III (ABSL-III) DI INSTITUT FARMASEUTIKAL DAN NUTRASEUTIKAL MALAYSIA (IPHARM), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",Choi,Fengshi,IVC RatCage,"RM281,000.00","29 October, 2025",Hardcopy by Hand,,,
256,"13 October, 2025","29 October, 2025","IPHARM, NIBM",NIBM-IPH/PRC/RFQ/03/2025-014,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI NEGATIVE PRESSURE INDIVIDUALLY VENTILATED CAGES (IVC) RACK GUINEA PIG SYSTEM BAGI MAKMAL BIOKESELAMATAN HAIWAN KELAS III (ABSL-III) DI INSTITUT FARMASEUTIKAL DAN NUTRASEUTIKAL MALAYSIA (IPHARM), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",Choi,Fengshi,IVC Guinea Pig,"RM215,900.00","29 October, 2025",Hardcopy by Hand,,,
257,"13 October, 2025","29 October, 2025","IPHARM, NIBM",NIBM-IPH/PRC/RFQ/03/2025-015,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI NEGATIVE PRESSURE HOUSING RABBIT SYSTEM BAGI MAKMAL BIOKESELAMATAN HAIWAN KELAS III (ABSL-III) DI INSTITUT FARMASEUTIKAL DAN NUTRASEUTIKAL MALAYSIA (IPHARM), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",Choi,Fengshi,Rabbit Housing,"RM96,500.00","29 October, 2025",Hardcopy by Hand,,,
253,"17 October, 2025","21 October, 2025",UKM,NETSDP202522432,MEMBEKAL DAN MENGHANTAR BAHAN MAKMAL PAKAI HABIS MENGGUNAKAN (RS-2021-003) -DR.PUVANESWARAN,Isyraf,Park System,Probe,"RM7,100.00","17 October, 2025",Online Bidding,Yes,,
258,"24 October, 2025","29 October, 2025",UKM,NETSDP202522935,MEMBEKAL MENGHANTAR BARANG SAINTIFIK PENYELIDIKAN UNTUK DR SAHRIAH BASRI MENGGUNAKAN KOD UKM – TR2024 - 17 DI INSTITUT SELFUEL,Isyraf,Shashin Kagaku,Consumables,"RM1,600.00","28 October, 2025",Online Bidding,Yes,,
259,"28 October, 2025","29 October, 2025",UKM,NETSDP202523181,MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS KE JABATAN FARMAKOLOGI UNTUK PENYELIDIKAN MENGGUNAKAN GERAN GUP-2024-085. KETUA GERAN TS DR WONG SOK KUAN,Amanina,OZ Bioscience,SilenceMag,"RM7,170.00","28 October, 2025",Online Bidding,Yes,,
260,"28 October, 2025","29 October, 2025",UKM,NETSDP202523178,MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS KE JABATAN FARMAKOLOGI UNTUK PENYELIDIKAN MENGGUNAKAN GERAN FRGS/1/2023/SKK10/UKM/02/3. KETUA GERAN TS. DR WONG SOK KUAN,Amanina,OZ Bioscience,SilenceMag,"RM10,755.00","28 October, 2025",Online Bidding,Yes,,
261,"28 October, 2025","29 October, 2025",UKM,NETSDP202523521,MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS KE JABATAN FARMAKOLOGI UNTUK PENYELIDIKAN MENGGUNAKAN GERAN FF-2024-090. KETUA GERAN TS. DR WONG SOK KUAN,Amanina,OZ Bioscience,SilenceMag,"RM10,755.00","28 October, 2025",Online Bidding,Yes,,
262,"27 October, 2025","29 October, 2025",UKM,NETSDP202523056,"MEMBEKAL DAN MENGHANTAR LAB BENCH KE MAKMAL MIKROFLUIDIK, IMEN MENGGUNAKAN PERUNTUKAN IMN2 (PELULUS: DR. RHONIRA LATIF)",Shahrul,,Laboratory Bench,"RM3,800.00","28 October, 2025",Online Bidding,No,KGC RESOURCES SDN BHD,
263,"29 October, 2025","30 October, 2025",UKM,NETSDP202523280,"MEMBEKAL DAN MENGHANTAR BAHAN PENYELIDIKAN "" CUSTOM CONJUGATION SERVICE PER ANTIBODY FOR 50 UG CONJUGATION"" UNTUK KEGUNAAN PROF MADYA DR. ELENA AISHA KOD PROJEK: LRGS/1/2021/SKK15/UKM/02/2",Suzanna,Akoya Bioscience,Service,"RM9,790.00","30 October, 2025",Online Bidding,Yes,,
264,"27 October, 2025","31 October, 2025",UTAR,MK FMHS/RFQ/25/138 ,RFQ Water Filtration System,ET Lim,Adrona,Compact RO,"RM17,460.00","31 October, 2025",Email,Yes,,"Gaia, DMB & Reximius"
265,"29 October, 2025","31 October, 2025",UKM,NETSDP202523312,"MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJI LARI OIL-FREE VACUUM PUMP UNTUK KEGUNAAN PENGAJARAN MENGGUNAKAN PERUNTUKAN RMK12 RP5, TABUNG PDE119 (JSBAS31/2025)",Gan Wan Han,Rocker Scientific,Rocker 300,"RM3,300.00","31 October, 2025",Email,No,BENUA SAINS SDN BHD,
266,"3 November, 2025","4 November, 2025",UKM,NETSDP202523533,"MEMBEKAL DAN MENGHANTAR SLIDE PENGAJARAN ANATOMI HISTOLOGI TAHUN SATU UNTUK MAKMAL PELBAGAI DISIPLIN FAKULTI PEGIGIAN UKM, JALAN RAJA MUDA ABDUL AZIZ KAMPUS KL ,( N.P JDKB MPD 28/25)",Amanina,Happy Science,slides,"RM1,800.00","3 November, 2025",Online Bidding,Yes,,
267,"31 October, 2025","7 November, 2025",Wilmar,TERUSAN 7682037451,LAB EQUIPMENT.,Gan Wan Han,Rocker Scientific,Rocker 300,"RM1,200.00","3 November, 2025",Online Bidding,,,
268,"17 October, 2025","7 November, 2025","IPHARM, NIBM",NIBM-IPH/PRC/TEN/01/2025-004,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI LARGE STEAM STERILIZER TERMASUK PERKHIDMATAN NYAHPASANG STERILIZER SEDIA ADA DI FASILITI PENYELIDIKAN HAIWAN (ARF), INSTITUT FARMASEUTIKAL DAN NUTRASEUTIKAL MALAYSIA (IPHARM), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",Choi,Steelco,Sterilizer,"RM2,167,700.00","7 November, 2025",Hardcopy by Hand,,,
269,"10 November, 2025","12 November, 2025",UKM,NETSDP202524303,"MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS MAKMAL (PELLET) UNTUK KEGUNAAN JABATAN KEJURUTERAAN MEKANIKAL DAN PEMBUATAN, FKAB DENGAN MENGGUNAKAN PERUNTUKAN FRGS/1/2024/TK10/UKM/02/3 (NP:KM146/25/P)",Isyraf,,HDPE and PLA Pallet,"RM3,940.00","11 November, 2025",Online Bidding,No,AJ INFINITE (M) SDN BHD,
270,"6 November, 2025","10 November, 2025",SIRIM,EQ-2025-5317,"PEMBELIAN KIT ELISA HUMAN IL-6 DAN HUMAN IL-8
Description: PEMBELIAN KIT ELISA HUMAN IL-6 DAN HUMAN IL-8",Choi,Reed Biotech,Elisa Kit,"RM4,200.00","10 November, 2025",Online Bidding,,,
271,"6 November, 2025","13 November, 2025",UKM,NETSS202500460,"MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJI PERALATAN MULTI FUNCTION TRIBOMETER UNTUK FAKULTI KEJURUTERAAN DAN ALAM BINA, UKM",Shahrul,Rtec Instruments,Tribometer MFT-2000,"RM270,000.00","13 November, 2025",Online Bidding,,,
272,"23 October, 2025","13 November, 2025",IIUM,IIUM/KOP/01/2025/R1,"Replacement of Equipment for Kulliyyah of Pharmacy, International Islamic University Malaysia, Kuantan Campus ",Hock Seng,,Electrospray & multiplate reader ,"RM375,900.00","13 November, 2025",Hardcopy by Hand,,,
273,"14 November, 2025","15 November, 2025",UKM,NETSDP20252478,MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS PENYELIDIKAN (ELISA) DR MOHAMAD FAIRUZ YAHAYA/ ZULAIKA (FF-2025-443) KE JABATAN ANATOMI FAKULTI PERUBATAN UKM,Amanina,ELK Biotech,Elisa Kit,"RM8,065.00","14 November, 2025",Online Bidding,No,INSPHIRO TECHNOLOGIES SDN BHD,
274,"14 November, 2025","17 November, 2025",NPRA,SQ250000001163225,Vortex Mixer,Huda,Scientific Industries,Vortex-Genie 2,"RM3,950.00","14 November, 2025",Online Bidding,Yes,,
275,"14 November, 2025","18 November, 2025",UITM,UiTM/P1/PER/SHR/B/1125/0017,"CADANGAN MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJILARI PERALATAN MAKMAL UNTUK MAKMAL ELECTRONIC FABRICATION LABORATORY FAKULTI KEJURUTERAAN ELEKTRIK, UiTM CAWANGAN PULAU PINANG KAMPUS PERMATANG PAUH *",Shahrul,,"Furnace, fume hood & probe meter","RM122,250.00","18 November, 2025",Online Bidding,Yes,,DMB
276,"18 November, 2025","19 November, 2025",UKM,NETSDP202525119,"MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS ADJUSTABLE VORTEX MIXER (JAMINAN 1 TAHUN) KE JABATAN PERKHIDMATAN MAKMAL DIAGNOSTIK, HOSPITAL TUNKU AMPUAN BESAR, TUANKU AISHAH ROHANI, HOSPITAL PAKAR KANAK-KANAK UKM DENGAN MENGGUNAKAN PERUNTUKAN MENGURUS 2025",ET Lim,Wiggens,Vortex3000,"RM7,920.00","19 November, 2025",Online Bidding,No,BIO3 SCIENTIFIC SDN. BHD.,
277,"20 November, 2025","25 November, 2025",Radicare,88944,RMSB Microwave Digester,Thaqib,CEM,Keyboard Mars 6,RM450.00,"21 November, 2025",Online Bidding,Yes,,
278,"14 November, 2025","21 November, 2025",Institut Veterinar Ipoh,QT250000000034214,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJILARI DAN MENTAULIAH PELBAGAI PERALATAN MAKMAL BAGI SARINGAN PENYAKIT TERNAKAN DI INSTITUT PENYELIDIKAN VETERINAR, IPOH
",Choi,,Multiple items,"RM226,050.00","21 November, 2025",Online Bidding,No,QUALITY REPUTATION SDN. BHD,
279,"20 November, 2025","21 November, 2025",UKM,NETSDP202525504 ,"MEMBEKAL DAN MENGHANTAR VACUUM PUMP UNTUK PROGRAM SAINS FORENSIK, FSK UKM (KELULUSAN MB FSK BIL 9/2025)",Amanina,Rocker,Rocker 900,"RM3,200.00","21 November, 2025",Online Bidding,No,PLT SCIENTIFIC SDN BHD,
280,"20 November, 2025","21 November, 2025",UKM,NETSDP202525503,"MEMBEKAL DAN MENGHANTAR STIRRING HOTPLATE UNTUK PROGRAM SAINS FORENSIK, FSK UKM (KELULUSAN MB FSK BIL 9/2025)",Amanina,Wiggens,Hotplate,"RM4,400.00","21 November, 2025",Online Bidding,No,PLT SCIENTIFIC SDN BHD,
281,"14 November, 2025","21 November, 2025",SIRIM,EQ-2025-5663,TOXICOLOGY LABORATORY MATERIAL AND REAGENT,Choi,Mettler Toledo,Technical Buffer,RM675.00,"21 November, 2025",Online Bidding,,,
282,"11 November, 2025","23 November, 2025",UMT,UMT/SH175/2025,"TAWARAN SEMULA SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENUGASMULA PERALATAN MAKMAL (FREEZER) BAGI KEGUNAAN MAKMAL-MAKMAL UNIVERSITI MALAYSIA TERENGGANU (UMT)",Huda,Mether,Freezer,"RM222,000.00","21 November, 2025",Online Bidding,,,
283,"19 November, 2025","24 November, 2025",UKM,NETSDP202525408,FINETEST HUMAN IL-10 (INTERLEUKIN 10) ELISA KIT,Amanina,Finetest,Elisa Kit,"RM5,075.00","24 November, 2025",Online Bidding,,,
284,"20 November, 2025","24 November, 2025",SIRIM,EQ-2025-5857,MAN AND MOUSE ELISA KIT,Choi,Finetest,Elisa Kit,"RM10,500.00","24 November, 2025",Online Bidding,,,
285,"1 December, 2025","18 December, 2025",UTAR,FS/DAFS/2026/261125/E002,Laboratory Upright Chiller,Megan,Remi,Chiller RSSC-4D,"RM12,800.00","2 December, 2025",Online Bidding,,,
286,"4 December, 2025","8 December, 2025",USM,USMPT/KESIHATAN/25/27356(S1),MEMBEKAL DAN MENGHANTAR KEPERLUAN PENYELIDIKAN (R504-LR-GAL007-0000000036-Z104) ASSOCIATE PROFESSOR DR. SABREENA SAFUAN / ENG VIXUAN,ET Lim,Repligen,Float-A-Analyzer,"RM2,510.00","4 December, 2025",Online Bidding,Yes,,"PO from Next Gene, Life Science (RM 2,510)"
287,"3 December, 2025","8 December, 2025",USM,USMPT/KESIHATAN/25/27044(S1),MEMBEKAL DAN MENGHANTAR BAHAN PENYELIDIKAN - DR. NOOR AZLIN AZRAINI BINTI CHE SOH @ YUSOF / NORDALILA (JAB. PATOLOGI KIMIA) [SL REF. NO.: 2025/310],,GMATE,Glucose Strip,RM236.00,"5 December, 2025",Online Bidding,,,
288,"28 November, 2025","5 December, 2025",UKM,NETSDP202526311,"UKKH 24/25 : MEMESAN, MEMBEKAL , MENGHANTAR DAN MENGUJI PETI SEJUK 2 PINTU (CHILLER) UNTUK UNIT KOLEKSI KULTUR DAN HISTOLOGI (UKKH) , FST MENGGUNAKAN DANA UKMSHAPE (FST1)",Amanina,Mether,Refrigerator,"RM16,400.00","5 December, 2025",Online Bidding,,,
289,"8 December, 2025","8 December, 2025",Duopharma Biotech Berhad,2025120803,Laminar Flow Cabinets,Gan Wan Han,Biobase,Laminar flow,"RM20,000.00","8 December, 2025",Online Bidding,,,
290,"7 December, 2025","11 December, 2025",USM,USMPT/KESIHATAN/25/27355(S1),"	USMPT/KESIHATAN/25/27355(S1)
MEMBEKAL DAN MENGHANTAR KEPERLUAN PENYELIDIKAN (R503-KR-FRG001-0000000695-K134) ASSOCIATE PROFESSOR DR. SABREENA SAFUAN / ENG VIXUAN",ET Lim,Repligen,Consumables,"RM2,510.00","9 December, 2025",Online Bidding,,,
291,"18 November, 2025","11 December, 2025",Pro Edge Engineering Snd Bhd,PE/SMJVPS/HTAA/M07/GSM/02,"BLOK WANITA DAN KANAK-KANAK, HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN, PAHANG (REKA DAN BINA).",ET Lim,Healforce,BSC,"RM675,800.00","10 December, 2025",Hardcopy by Hand,,,
292,"4 December, 2025","16 December, 2025",UITM,UiTM/B2/PER/PT/B/1225/0552,"Cadangan Membekal, Menghantar, Memasang dan Mengujilari Automatic Ice Flake Maker di Institut Farmakogenomiks Integratif (iPROMISE), UiTM Cawangan Selangor Kampus Puncak Alam_TA
",Amanina,Remi,ZBS-50,"RM11,400.00","15 December, 2025",Online Bidding,,,DMB Kembara Sdn Bhd
